DESCRIPTION,QUANTITY_UNIT,MEDICINE_FEE,NAPPI_CODE
Fluanxol inj 40mg/2ml,2ml,52.67,726680001
Flustat caps,24,21.9,807648019
Flustat Syrup,100ml,18.69,807656011
Flustat Syrup,200ml,28.41,807656003
Flustop caps,20,79.38,885020001
Folic acid 5mg tabs,30,1.35,999999999
Fucidin cream,15g,47.66,727431005
Fucidin Ointment,15g,47.66,727377019
Fungicide tabs 200mg,15,45,999999999
Fungicide tabs 200mg,30,90,999999999
Fungizone (amphotericin B) lozenges 10mg,20,62,727520008
Furosemide Gastrigel tabs,24,16,999999999
Furosemide Lasix 40mg tabs,30,110.32,735949018
Furosemide Puresis 40mg tabs,30,26.4,758272006
Furosemide Rolab tabs 40mg,30,22.78,731668006
Gastron 2mg tabs,6,9.05,810916002
Gaviscon liquid,200ml,27.13,728462113
Gaviscon liquid,100ml,17.53,728462003
Gaviscon liquid,500ml,65.72,728462125
Gelusil peppermint,24,17.11,812137027
Gelusil S tabs,24,20.45,788465007
Gentamycin inj 80mg/2ml,2ml,14.27,825182018
Gentamycin Inj 80mg/2ml Rolab,2ml,12.97,792683005
Glucobay (acarbose) 50mg,90,144.76,808156012
Glycomin Aspen 5mg tabs,30,45.04,729361004
Grippon caps,24,38.25,729515001
Grippon Syrup,100ml,28.06,729523004
Gyno pevaryl vaginal cream1g/100mg,78g,199.05,832367001
Haloperidol tabs 5mg Rolab,30,55.96,999999999
Histalix cough suppressant syrup,100ml,23.23,731153006
Hot stud condoms,3�s,9,999999999
Hyospasmol 10mg tabs,10,8.48,731951018
Hyospasmol inj 20mg/ml,1ml,8.23,731943007
Iliadin paed  Spray,10ml,40.49,732265002
Iliadin paed Adult drops,10ml,33.1,732257018
Iliadin paed drops,10ml,30.1,732281008
Iliadin paed Spray,10ml,40.49,732338018
Ilotycin A cream,20g,64.7,842605002
Ilotycin A Gel,20g,64.7,842591001
Immunace caps,30,50,999999999
Imodium tabs 2mg,6,16.93,732486009
Impotex forte (women),30,60,999999999
Inderal (propranolol) 40mg tabs,30,75.71,732575028
Inza (brufen) 400mg tabs,30,19.98,733768008
Kenacomb cream,15g,81,735132003
Kenacomb ointment,15g,81,735140006
Ketazol cream,20g,59,890760001
Klacid susp 250mg/5ml,50ml,118.51,830054006
Klacid susp 250mg/5ml,100ml,178.88,830054014
Klacid suspension 125mg/5ml,50ml,68.48,830046003
Klacid tabs 250mg,10,129.73,789216019
Klacid XL 500 tabs,5,122.7,841552002
Klafotaxime inj 1000mg,1,74.5,871338009
Klafotaxime inj 500mg,1,36.35,870749005
Lamisil 1% cream 15g,15g,91.36,792705009
Lanoxin inj 0.25mg tabs,30,8.12,735752001
Lanoxin inj 0.5mg/2ml,2ml,12.7,735779007
Largactil  50mg tabs,30,50.67,735876002
Largactil inj 50mg/2ml,2ml,10.5,735914001
Lasix Inj 10mg/ml,2ml,9.46,735981019
Lasix tabs 40mg,30,100.3,735949018
Laxette laxative,150ml,16.33,817309004
Laxone laxative,150ml,25,999999999
Lenadol tabs,30,14.98,736228020
Lenisolone tabs,40,8.02,800155017
Lethyl Phenobarbitone tabs 30mg,60,7.65,737844019
Lilly Cefaclor BD 187mg/5ml,50ml,64.41,830127003
Lilly Cefaclor caps 250mg,15,81.34,824690001
Lilly Cefaclor caps 250mg,30,162.68,824690001
Lilly Cefaclor CD 375mg/ml susp,50ml,104.14,730119019
Lilly Cefaclor CD tabs 375mg,10,91.66,838772005
Lipitor 10mg tabs,28,188.96,831484004
Lipitor 20mg,28,269.25,831492007
Lipitor 40mg,28,335.85,886015007
Lo Acid tabs,10,11.87,894508008
Loperamide Adco 2mg tabs,6,9.11,792071115
Loperamide Adco susp,50ml,18.53,811467007
Losec mups 20mg,28,391.64,849391008
Losec mups 20mg,14,195.82,999999999
Maalox susp,150ml,20.63,739723014
Maalox Tabs,10,11.39,739731009
Macrodantin (Nitrofurantoin) 100mg,28,131.48,739847007
Macrodantin (Nitrofurantoin) 50mg caps,28,65.45,739839004
Maxaquin 400mg tabs,3,72.15,792454014
Maxolon inj 10mg/2ml,2ml,5.44,740535005
Maxolon Syrup,100ml,28.33,740500007
Maxolon Tabs 10mg,10,12.22,740519026
Mayogel susp,100ml,12.19,740551019
Mayogel susp,200ml,17.4,740551027
Mebendazol Vermox susp 100mg/5ml,30ml,20.77,775606006
Mebendazol Vermox tabs 100mg,6,20.77,775614099
Mebendazol Vermox tabs 500mg,1,20.27,807524018
Medazine syrup,50ml,10.79,792845005
Medazine Tabs 50mg,10,9.99,792853024
Medfed linctus,200ml,35.82,808717006
Medfed linctus,100ml,23.55,808717014
Medilyn linctus,100ml,12.55,789976005
Medilyn linctus,200ml,20.23,789976013
Medkeel A lozenges,16,25.41,741035006
Mefenamic acid (ponstan) 250mg caps,20,35.47,756148006
Mefenamic acid Adco 250mg caps,20,11.55,883102013
Mefenamic acid Adco susp 50mg/5ml,100ml,12.6,875643019
Mefenamic acid caps Rolab 250mg,20,14.49,741167046
Mefenic Acid Fenamin Phamacare Susp. 50mg/5ml,100ml,12.79,797014004
Menopace caps,30,52,999999999
Mepyrimal cream,25g,16.89,800511018
Mepyrimal suspension 25mg/5ml,100ml,23.68,800538005
Mercurocrome sol.,20ml,4,999999999
Metformin tabs 500mg Rolab,30,12.84,719285011
Metformin tabs 850mg Rolab,30,38.25,719293006
Methyl testosterone 5mg tabs,60,25.63,814636004
Metochlopromide Betaclopramide 10mg tabs,20,5.97,787817023
Metochlopromide Clopamon 10mg tabs,20,7.92,714828017
Metochlopromide Clopamon inj 10mg/5ml,2ml,6.06,714836006
Metochlopromide Clopamon syrup 5mg/5ml,100ml,24.52,714844004
Metochlopromide tabs 10mg Rolab,20,9.94,757845002
Metronidazol 400mg tabs,21,15.19,999999999
Miconazol oral gel,40g,40,999999999
Microcidal tabs 125mg,60,63.57,729566005
Microcidal tabs 500mg,60,282.8,729574008
Microgel tabs,40,43.75,743062019
Microval 30mg,28,40.18,826006019
Migril tabs,10,40,743283007
Minipress 1mg tabs,30,35.93,743623002
Minipress 2mg,30,60.13,743658019
Mobic caps 7.5mg,30,132.53,818615001
Moxan syrup 125mg/5ml,100ml,14.73,830259007
Mucane anti acid solution,100ml,21.34,744751020
