NAME,CODE,CODE2,CODE2CATEG,CODE3,GENERICNAME,DESCRIPTION,CATEGORY,IS_INVENTORY,IS_SERVICE,ACTIVE,MEASUREMENT_UNIT,SALES_PRICE,SALE_INCLUDE_TAX,BUY_PRICE,BUY_PRICE_INCLUDE_TAX,ITEM_TAX,AVAILABLE_AS_TREATMENT,AVAILABLE_AS_DRUG,AVAILABLE_AS_LAB_TEST,AVAILABLE_AS_IMAGING_TEST,AVAILABLE_AS_SURGERY_RELATED,AVAILABLE_AS_INPATIENT_ACCOMM,AVAILABLE_AS_DIAGNOSIS,AVAILABLE_AS_CUSTOM_ITEM_TYPE1,AVAILABLE_AS_CUSTOM_ITEM_TYPE1,AVAILABLE_AS_CUSTOM_ITEM_TYPE2,USE_IN_MEDIC_ACCOUNTS,DURG_DEFAULT_DOSAGE,DRUG_DEFAULT_ADMINISTRATION,DRUG_DEFAULT_FREQUENCY,DRUG_DEFAULT_REFILLS,WARNINGS
IMMUNADUE,705421,Z76.9     ,,,Multivitamins,IMMUNADUE,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,CAP,100,,
WATER FOR INJ 10ML,778427,Z76.9     ,,,Water for injection,WATER FOR INJ 10ML,,Yes,,Yes,,140.4,157.25,,,,,Yes,,,,,,,,,,,INJ,1,,
SPASMO-CANULASE,765481,Z76.9     ,,,Dressings,SPASMO-CANULASE,,Yes,,Yes,,207.91,232.86,,,,,Yes,,,,,,,,,,,,10,,
ARTHROGUARD VAP,897787,Z76.9     ,,,Herbal supplements,ARTHROGUARD VAP,,Yes,,Yes,,120.4,134.85,,,,,Yes,,,,,,,,,,,TAB,90,,
EUROMED STERILE WATER FOR INJECTION 1000,715772,Z76.9     ,,,Water for injection,EUROMED STERILE WATER FOR INJECTION 1000,,Yes,,Yes,,12,13.44,,,,,Yes,,,,,,,,,,,INJ,1,,
IMMUNADUE,708394,Z76.9     ,,,Multivitamins,IMMUNADUE,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,CAP,200,,
SWIMSEAL 7.5ML,715532,Z76.9     ,,,Antihistamines,SWIMSEAL 7.5ML,,Yes,,Yes,,39.95,44.74,,,,,Yes,,,,,,,,,,,SYR,1,,
CALTRATE PLUS,715422,Z76.9     ,,,Calcium,CALTRATE PLUS,,Yes,,Yes,,115.86,129.76,,,,,Yes,,,,,,,,,,,TAB,30,,
INADINE 9.5CMX9.5CM 996861,796263,Z76.9     ,,,Dressings,INADINE 9.5CMX9.5CM 996861,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,,1,,
CALTRATE PLUS CHEW (NEW FORMULATION),713962,Z76.9     ,,,Calcium,CALTRATE PLUS CHEW (NEW FORMULATION),,Yes,,Yes,,219.24,245.55,,,,,Yes,,,,,,,,,,,TAB,60,,
PARAFFIN GAUZE DRESSING 10X10,710728,Z76.9     ,,,Dressings,PARAFFIN GAUZE DRESSING 10X10,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,,13,,
VITAL ZINC,799386,Z76.9     ,,,Zinc,VITAL ZINC,,Yes,,Yes,,41.97,47.01,,,,,Yes,,,,,,,,,,,TAB,100,,
VITAMIN B CO CHOC,713173,Z76.9     ,,,Vit B Complex,VITAMIN B CO CHOC,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,TAB,30,,
CALTRATE PLUS,715422,Z76.9     ,,,Calcium,CALTRATE PLUS,,Yes,,Yes,,199.74,223.71,,,,,Yes,,,,,,,,,,,TAB,60,,
MULTICOM RESPIRATORY SUPPORT,707369,Z76.9     ,,,Dressings,MULTICOM RESPIRATORY SUPPORT,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,,30,,
FLANGE FLOATING TANDEM SKIN BA,544108,Z76.9     ,,,Dressings,FLANGE FLOATING TANDEM SKIN BA,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,,5,,
CALTRATE D,782114,Z76.9     ,,,Calcium,CALTRATE D,,Yes,,Yes,,97.61,109.32,,,,,Yes,,,,,,,,,,,TAB,30,,
CALTRATE PLUS CHEW (NEW FORMULATION),713962,Z76.9     ,,,Calcium,CALTRATE PLUS CHEW (NEW FORMULATION),,Yes,,Yes,,77.91,87.26,,,,,Yes,,,,,,,,,,,TAB,30,,
EPI-MAX,855855,Z76.9     ,,,Cetamacrogol,EPI-MAX,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,CRM,400,,
HOLLISTER,410432,Z76.9     ,,,Dressings,HOLLISTER,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,,20,,
EPI-BATHE,856843,Z76.9     ,,,Cetamacrogol,EPI-BATHE,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,CRM,250,,
LEGBAG URI,486290,Z76.9     ,,,Dressings,LEGBAG URI,,Yes,,Yes,,1520,1702.4,,,,,Yes,,,,,,,,,,,,20,,
AQUEOUS CREAM JAR,802565,Z76.9     ,,,Cetamacrogol,AQUEOUS CREAM JAR,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,CRM,500,,
AQUEOUS CREAM,700012,Z76.9     ,,,Cetamacrogol,AQUEOUS CREAM,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,CRM,225,,
BANDAGE CREPE FIXA/RETEN MED SUPP RE-USE,696668,Z76.9     ,,,Dressings,BANDAGE CREPE FIXA/RETEN MED SUPP RE-USE,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,,1,,
CALTRATE PLUS CHEW,842699,Z76.9     ,,,Calcium,CALTRATE PLUS CHEW,,Yes,,Yes,,183.64,205.68,,,,,Yes,,,,,,,,,,,TAB,60,,
HOLL DRAIN/POUCH NI 18124,479997,Z76.9     ,,,Dressings,HOLL DRAIN/POUCH NI 18124,,Yes,,Yes,,556.88,623.71,,,,,Yes,,,,,,,,,,,,10,,
WATER FOR INJECTIONS FLEXIVIALS 10ML (IN,704344,Z76.9     ,,,Water for injection,WATER FOR INJECTIONS FLEXIVIALS 10ML (IN,,Yes,,Yes,,159.02,178.1,,,,,Yes,,,,,,,,,,,INJ,1,,
CALCI MINT,861235,Z76.9     ,,,Calcium,CALCI MINT,,Yes,,Yes,,108.27,121.26,,,,,Yes,,,,,,,,,,,TAB,30,,
KY JELLY STERILE,835331,Z76.9     ,,,Petrolium Jelly,KY JELLY STERILE,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,OIN,50,,
CALTRATE PLUS CHEW,842699,Z76.9     ,,,Calcium,CALTRATE PLUS CHEW,,Yes,,Yes,,109.62,122.77,,,,,Yes,,,,,,,,,,,TAB,30,,
OSTEOEZE GOLD,705062,Z76.9     ,,,Herbal supplements,OSTEOEZE GOLD,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,TAB,90,,
ON. SETRON DENK,267688,Z76.9     ,,,Ondansetron,ON. SETRON DENK,,Yes,,Yes,,782.4,876.29,,,,,Yes,,,,,,,,,,,TAB,18,,
ON. SETRON DENK,967688,Z76.9     ,,,Ondansetron,ON. SETRON DENK,,Yes,,Yes,,97.34,109.02,,,,,Yes,,,,,,,,,,,TAB,6,,
HYCORUM,967710,Z76.9     ,,,Hycorum,HYCORUM,,Yes,,Yes,,30.37,34.01,,,,,Yes,,,,,,,,,,,CRM,15,,
IOBRIM EYE DROPS,967713,Z76.9     ,,,Brimonidine,IOBRIM EYE DROPS,,Yes,,Yes,,66,73.92,,,,,Yes,,,,,,,,,,,OPD,1,,
MYPROCAM,720360,Z76.9     ,,,Cyclobenzaprine,MYPROCAM,,Yes,,Yes,,240.14,268.96,,,,,Yes,,,,,,,,,,,TAB,15,,
ON. SETRON DENK,967689,Z76.9     ,,,Odansetron,ON. SETRON DENK,,Yes,,Yes,,126.13,141.27,,,,,Yes,,,,,,,,,,,TAB,12,,
HIDRASEC CHILDREN (NAMIBIA ONLY),721705,Z76.9     ,,,Electrolytes,HIDRASEC CHILDREN (NAMIBIA ONLY),,Yes,,Yes,,137.57,154.08,,,,,Yes,,,,,,,,,,,SAT,6,,
BETOPTIC 5ML,708445,Z76.9     ,,,Timolol combinations,BETOPTIC 5ML,,Yes,,Yes,,178.86,200.32,,,,,Yes,,,,,,,,,,,OPD,5,,
TRILEPTAL FCT,892484,Z76.9     ,,,Oxcarbazepine,TRILEPTAL FCT,,Yes,,Yes,,314.72,352.49,,,,,Yes,,,,,,,,,,,TAB,60,,
DITROPAN,720658,Z76.9     ,,,Oxybutynin,DITROPAN,,Yes,,Yes,,696.93,780.56,,,,,Yes,,,,,,,,,,,TAB,100,,
PNEUMOVAX VACCINE,755826,Z76.9     ,,,Pneumococcus; purified polysaccharides antigen conjugated,PNEUMOVAX VACCINE,,Yes,,Yes,,149.11,167,,,,,Yes,,,,,,,,,,,INJ,1,,
CEPACOL LOZ,713252,Z76.9     ,,,Cetylpyridium,CEPACOL LOZ,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,LOZ,16,,
ILIADIN SALINE NASAL METERED SPRAY ADULT,704729,Z76.9     ,,,Sodium Chloride,ILIADIN SALINE NASAL METERED SPRAY ADULT,,Yes,,Yes,,53.34,59.74,,,,,Yes,,,,,,,,,,,NDR,1,,
TEEJEL,835404,Z76.9     ,,,Lignocaine,TEEJEL,,Yes,,Yes,,29.68,33.24,,,,,Yes,,,,,,,,,,,GEL,5,,
ACYCLOVIR,906867,Z76.9     ,,,Aciclovir,ACYCLOVIR,,Yes,,Yes,,73.74,82.59,,,,,Yes,,,,,,,,,,,TAB,70,,
VITAL CHEW ORANGE,828386,Z76.9     ,,,Ascorbic acid (vit C),VITAL CHEW ORANGE,,Yes,,Yes,,310.86,348.16,,,,,Yes,,,,,,,,,,,TAB,1000,,
BENZAC-AC 5,807842,Z76.9     ,,,Benzoyl peroxide,BENZAC-AC 5,,Yes,,Yes,,65.24,73.07,,,,,Yes,,,,,,,,,,,GEL,15,,
PHARMA-Q BETAMETHASONE AMPOULE 1ML,899124,Z76.9     ,,,Betamethasone,PHARMA-Q BETAMETHASONE AMPOULE 1ML,,Yes,,Yes,,101.63,113.83,,,,,Yes,,,,,,,,,,,CRM,500,,
ASPEN BROMOCRIPTINE,704593,Z76.9     ,,,Bromocriptine,ASPEN BROMOCRIPTINE,,Yes,,Yes,,344.53,385.87,,,,,Yes,,,,,,,,,,,TAB,30,,
PARLODEL,752959,Z76.9     ,,,Bromocriptine,PARLODEL,,Yes,,Yes,,439.67,492.43,,,,,Yes,,,,,,,,,,,TAB,30,,
ROCALTROL,761249,Z76.9     ,,,Calcitriol,ROCALTROL,,Yes,,Yes,,271.74,304.35,,,,,Yes,,,,,,,,,,,TAB,30,,
STORILAT RETARD,967448,Z76.9     ,,,Carbamazepine,STORILAT RETARD,,Yes,,Yes,,224,250.88,,,,,Yes,,,,,,,,,,,TAB,60,,
CLOMID,714771,Z76.9     ,,,Clomifene,CLOMID,,Yes,,Yes,,116.42,130.39,,,,,Yes,,,,,,,,,,,TAB,5,,
